Habitat Description,Good,Fairly Good,Moderate,Fairly Poor,Poor,Condition Assessment N/A,N/A - Other
Cropland - Arable field margins cultivated annually,NaN,NaN,NaN,NaN,NaN,1,NaN
Cropland - Arable field margins game bird mix,NaN,NaN,NaN,NaN,NaN,1,NaN
Cropland - Arable field margins pollen and nectar,NaN,NaN,NaN,NaN,NaN,1,NaN
Cropland - Arable field margins tussocky,NaN,NaN,NaN,NaN,NaN,1,NaN
Cropland - Cereal crops,NaN,NaN,NaN,NaN,NaN,1,NaN
Cropland - Winter stubble,NaN,NaN,NaN,NaN,NaN,1,NaN
Cropland - Horticulture,NaN,NaN,NaN,NaN,NaN,1,NaN
Cropland - Intensive orchards,NaN,NaN,NaN,NaN,NaN,1,NaN
Cropland - Non-cereal crops,NaN,NaN,NaN,NaN,NaN,1,NaN
Cropland - Temporary grass and clover leys,NaN,NaN,NaN,NaN,NaN,1,NaN
Grassland - Traditional orchards,30,25,20,10,5,NaN,NaN
Grassland - Bracken,NaN,NaN,NaN,NaN,NaN,1,NaN
Grassland - Floodplain wetland mosaic and CFGM,20,15,10,8,5,NaN,NaN
Grassland - Lowland calcareous grassland,20,15,10,8,5,NaN,NaN
Grassland - Lowland dry acid grassland,30+,25,20,15,10,NaN,NaN
Grassland - Lowland meadows,15,12,10,8,5,NaN,NaN
Grassland - Modified grassland,7,5,4,2,1,NaN,NaN
Grassland - Other lowland acid grassland,15,12,10,5,1,NaN,NaN
Grassland - Other neutral grassland,10,7,5,3,2,NaN,NaN
Grassland - Tall herb communities (H6430),30,25,20,15,10,NaN,NaN
Grassland - Upland acid grassland,15,12,10,5,1,NaN,NaN
Grassland - Upland calcareous grassland,25,20,15,12,10,NaN,NaN
Grassland - Upland hay meadows,20,18,15,12,10,NaN,NaN
Heathland and shrub - Blackthorn scrub,10,7,5,3,1,NaN,NaN
Heathland and shrub - Bramble scrub,NaN,NaN,NaN,NaN,NaN,1,NaN
Heathland and shrub - Gorse scrub,10,7,5,3,1,NaN,NaN
Heathland and shrub - Hawthorn scrub,10,7,5,3,1,NaN,NaN
Heathland and shrub - Hazel scrub,15,12,10,7,5,NaN,NaN
Heathland and shrub - Willow scrub,15,12,10,7,5,NaN,NaN
Heathland and shrub - Lowland heathland,30+,25,20,15,10,NaN,NaN
Heathland and shrub - Mixed scrub,10,7,5,3,1,NaN,NaN
Heathland and shrub - Mountain heaths and willow scrub,30+,30+,25,23,15,NaN,NaN
Heathland and shrub - Rhododendron scrub,NaN,NaN,NaN,NaN,NaN,1,NaN
Heathland and shrub - Dunes with sea buckthorn (H2160),10,7,5,3,1,NaN,NaN
Heathland and shrub - Other sea buckthorn scrub,NaN,NaN,NaN,NaN,NaN,1,NaN
Heathland and shrub - Upland heathland,30,25,20,15,10,NaN,NaN
Lakes - Aquifer fed naturally fluctuating water bodies,30,20,15,10,1,NaN,NaN
Lakes - High alkalinity lakes,30,20,10,7,5,NaN,NaN
Lakes - Low alkalinity lakes,30,20,10,7,5,NaN,NaN
Lakes - Marl lakes,30,20,10,7,5,NaN,NaN
Lakes - Moderate alkalinity lakes,30,20,10,7,5,NaN,NaN
Lakes - Peat lakes,30,20,10,7,5,NaN,NaN
Lakes - Ponds (priority habitat),5,4,3,2,1,NaN,NaN
Lakes - Ponds (non-priority habitat),5,4,3,2,1,NaN,NaN
Lakes - Reservoirs,10,7,5,3,1,NaN,NaN
Lakes - Temporary lakes ponds and pools (H3170),5,4,3,2,1,NaN,NaN
Sparsely vegetated land - Calaminarian grasslands,10,7,5,3,2,NaN,NaN
Sparsely vegetated land - Coastal sand dunes,20,15,10,7,5,NaN,NaN
Sparsely vegetated land - Coastal vegetated shingle,20,15,10,7,5,NaN,NaN
Sparsely vegetated land - Ruderal/Ephemeral,5,4,3,2,1,NaN,NaN
Sparsely vegetated land - Tall forbs,5,4,3,2,1,NaN,NaN
Sparsely vegetated land - Inland rock outcrop and scree habitats,30+,25,20,15,10,NaN,NaN
Sparsely vegetated land - Limestone pavement,30+,30+,30+,30+,30+,NaN,NaN
Sparsely vegetated land - Maritime cliff and slopes,20,15,10,7,5,NaN,NaN
Sparsely vegetated land - Other inland rock and scree,20,15,10,7,5,NaN,NaN
Urban - Allotments,1,1,1,1,1,NaN,NaN
Lakes - Ornamental lake or pond,5,4,3,2,1,NaN,NaN
"Urban - Artificial unvegetated, unsealed surface",NaN,NaN,NaN,NaN,NaN,NaN,0
Urban - Bioswale,3,2,1,1,1,NaN,NaN
Urban - Intensive green roof,5,4,3,2,1,NaN,NaN
Urban - Built linear features,NaN,NaN,NaN,NaN,NaN,NaN,0
Urban - Cemeteries and churchyards,20,17,15,12,10,NaN,NaN
Urban - Developed land; sealed surface,NaN,NaN,NaN,NaN,NaN,NaN,0
Urban - Other green roof,NaN,NaN,NaN,NaN,NaN,1,NaN
Urban - Facade-bound green wall,5,4,3,2,1,NaN,NaN
Urban - Ground based green wall,5,4,3,2,1,NaN,NaN
Urban - Ground level planters,NaN,NaN,NaN,NaN,NaN,1,NaN
Urban - Biodiverse green roof,10,8,5,3,1,NaN,NaN
Urban - Introduced shrub,NaN,NaN,NaN,NaN,NaN,1,NaN
Urban - Open mosaic habitats on previously developed land,10,7,4,2,0,NaN,NaN
Urban - Rain garden,5,4,3,2,1,NaN,NaN
Urban - Actively worked sand pit quarry or open cast mine,NaN,NaN,NaN,NaN,NaN,1,NaN
Individual trees - Urban tree,30+,30+,27,19,10,NaN,NaN
Urban - Sustainable drainage system,5,4,3,2,1,NaN,NaN
Urban - Unvegetated garden,NaN,NaN,NaN,NaN,NaN,NaN,0
Urban - Vacant or derelict land,5,4,3,2,1,NaN,NaN
Urban - Bare ground,5,4,3,2,1,NaN,NaN
Urban - Vegetated garden,NaN,NaN,NaN,NaN,NaN,1,NaN
Wetland - Blanket bog,30+,30+,30+,30+,30+,NaN,NaN
Wetland - Depressions on peat substrates (H7150),30+,30+,30,25,15,NaN,NaN
Wetland - Fens (upland and lowland),30,25,20,15,10,NaN,NaN
Wetland - Lowland raised bog,30+,30+,30,20,15,NaN,NaN
Wetland - Oceanic valley mire[1] (D2.1),30+,30+,30,20,15,NaN,NaN
Wetland - Purple moor grass and rush pastures,30,25,20,15,10,NaN,NaN
Wetland - Reedbeds,12,10,7,5,3,NaN,NaN
Wetland - Transition mires and quaking bogs (H7140),30+,30+,30,25,15,NaN,NaN
Woodland and forest - Felled,30+,NaN,NaN,NaN,NaN,NaN,NaN
Woodland and forest - Lowland beech and yew woodland,30+,30+,30+,25,10,NaN,NaN
Woodland and forest - Lowland mixed deciduous woodland,30+,30+,30+,25,10,NaN,NaN
Woodland and forest - Native pine woodlands,30+,30+,30+,25,10,NaN,NaN
Woodland and forest - Other coniferous woodland,30+,30+,30,10,5,NaN,NaN
Woodland and forest - Other Scot's pine woodland,30+,30+,30+,25,10,NaN,NaN
Woodland and forest - Other woodland; broadleaved,30+,25,15,7,5,NaN,NaN
Woodland and forest - Other woodland; mixed,30+,30+,30,10,5,NaN,NaN
Woodland and forest - Upland birchwoods,30+,30,25,20,10,NaN,NaN
Woodland and forest - Upland mixed ashwoods,30+,30+,30+,25,10,NaN,NaN
Woodland and forest - Upland oakwood,30+,30+,30+,25,10,NaN,NaN
Woodland and forest - Wet woodland,30+,30,15,10,5,NaN,NaN
Woodland and forest - Wood-pasture and parkland,30+,30+,30+,25,10,NaN,NaN
Coastal lagoons - Coastal lagoons,10,8,5,3,1,NaN,NaN
Rocky shore - High energy littoral rock,10,7,4,2,1,NaN,NaN
"Rocky shore - High energy littoral rock - on peat, clay or chalk",30+,30+,30+,30+,30+,NaN,NaN
Rocky shore - Moderate energy littoral rock,13,8,4,2,1,NaN,NaN
"Rocky shore - Moderate energy littoral rock - on peat, clay or chalk",30+,30+,30+,30+,30+,NaN,NaN
Rocky shore - Low energy littoral rock,15,10,5,1,1,NaN,NaN
"Rocky shore - Low energy littoral rock - on peat, clay or chalk",30+,30+,30+,30+,30+,NaN,NaN
Rocky shore - Features of littoral rock,13,8,4,2,1,NaN,NaN
"Rocky shore - Features of littoral rock - on peat, clay or chalk",30+,30+,30+,30+,30+,NaN,NaN
Intertidal sediment - Littoral coarse sediment,3,2,1,1,1,NaN,NaN
Intertidal sediment - Littoral mud,6,4,3,2,1,NaN,NaN
Intertidal sediment - Littoral mixed sediments,5,4,3,2,1,NaN,NaN
Coastal saltmarsh - Saltmarshes and saline reedbeds,15,10,7,3,1,NaN,NaN
Coastal saltmarsh - Artificial saltmarshes and saline reedbeds,15,10,7,3,1,NaN,NaN
Intertidal sediment - Littoral seagrass,20,15,10,5,2,NaN,NaN
"Intertidal sediment - Littoral seagrass on peat, clay or chalk",30+,30+,30+,30+,30+,NaN,NaN
Intertidal sediment - Littoral biogenic reefs - Mussels,15,10,5,3,3,NaN,NaN
Intertidal sediment - Littoral biogenic reefs - Sabellaria,15,10,5,3,3,NaN,NaN
Intertidal sediment - Features of littoral sediment,10,7,5,3,3,NaN,NaN
Intertidal sediment - Artificial littoral coarse sediment,3,2,1,1,1,NaN,NaN
Intertidal sediment - Artificial littoral mud,6,4,3,2,1,NaN,NaN
Intertidal sediment - Artificial littoral sand,4,2,1,1,1,NaN,NaN
Intertidal sediment - Artificial littoral muddy sand,5,4,3,2,1,NaN,NaN
Intertidal sediment - Artificial littoral mixed sediments,5,4,3,2,1,NaN,NaN
Intertidal sediment - Artificial littoral seagrass,20,15,10,5,2,NaN,NaN
Intertidal sediment - Artificial littoral biogenic reefs,15,10,5,3,3,NaN,NaN
Intertidal sediment - Littoral sand,4,2,1,1,1,NaN,NaN
Intertidal sediment - Littoral muddy sand,5,4,3,2,1,NaN,NaN
Intertidal hard structures - Artificial hard structures,15,10,5,2,1,NaN,NaN
Intertidal hard structures - Artificial features of hard structures,13,8,4,2,1,NaN,NaN
Intertidal hard structures - Artificial hard structures with integrated greening of grey infrastructure (IGGI),13,8,4,2,1,NaN,NaN
Watercourse footprint - Watercourse footprint,NaN,NaN,NaN,NaN,NaN,NaN,0
Individual trees - Rural tree,30+,30+,27,19,10,NaN,NaN