Start condition,Lower Distinctiveness Habitat,Lower Distinctiveness Habitat,Lower Distinctiveness Habitat,Lower Distinctiveness Habitat,Lower Distinctiveness Habitat,Lower Distinctiveness Habitat,Lower Distinctiveness Habitat,Condition Assessment N/A,Condition Assessment N/A,Condition Assessment N/A,Condition Assessment N/A,Poor,Poor,Poor,Poor,Fairly Poor,Fairly Poor,Fairly Poor,Moderate,Moderate,Fairly Good,Good
Target condition,N/A - Other,Condition Assessment N/A,Poor,Fairly Poor,Moderate,Fairly Good,Good,Fairly Poor,Moderate,Fairly Good,Good,Fairly Poor,Moderate,Fairly Good,Good,Moderate,Fairly Good,Good,Fairly Good,Good,Good,Good
Habitat,Lower Distinctiveness Habitat - N/A - Other,Lower Distinctiveness Habitat - Condition Assessment N/A,Lower Distinctiveness Habitat - Poor,Lower Distinctiveness Habitat - Fairly Poor,Lower Distinctiveness Habitat - Moderate,Lower Distinctiveness Habitat - Fairly Good,Lower Distinctiveness Habitat - Good,Condition Assessment N/A - Fairly Poor,Condition Assessment N/A - Moderate,Condition Assessment N/A - Fairly Good,Condition Assessment N/A - Good,Poor - Fairly Poor,Poor - Moderate,Poor - Fairly Good,Poor - Good,Fairly Poor - Moderate,Fairly Poor - Fairly Good,Fairly Poor - Good,Moderate - Fairly Good,Moderate - Good,Fairly Good - Good,Good - Good
Cropland - Arable field margins cultivated annually,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cropland - Arable field margins game bird mix,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cropland - Arable field margins pollen and nectar,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cropland - Arable field margins tussocky,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cropland - Cereal crops,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cropland - Winter stubble,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cropland - Horticulture,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cropland - Intensive orchards,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cropland - Non-cereal crops,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cropland - Temporary grass and clover leys,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Grassland - Traditional orchards,NaN,NaN,5,10,20,25,30,NaN,NaN,NaN,NaN,5,15,20,25,10,15,20,5,10,5,NaN
Grassland - Bracken,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Grassland - Floodplain wetland mosaic and CFGM,NaN,NaN,5,8,10,12,15,NaN,NaN,NaN,NaN,8,10,12,15,2,4,7,2,4,3,NaN
Grassland - Lowland calcareous grassland,NaN,NaN,10,15,20,25,30,NaN,NaN,NaN,NaN,5,10,15,20,5,10,15,5,10,5,NaN
Grassland - Lowland dry acid grassland,NaN,NaN,10,15,20,25,30+,NaN,NaN,NaN,NaN,5,15,20,30+,8,15,25,10,20,10,NaN
Grassland - Lowland meadows,NaN,NaN,5,8,10,12,15,NaN,NaN,NaN,NaN,4,8,11,15,4,8,11,4,8,4,NaN
Grassland - Modified grassland,NaN,NaN,1,5,10,12,15,NaN,NaN,NaN,NaN,5,10,12,15,8,10,12,8,10,8,NaN
Grassland - Other lowland acid grassland,NaN,NaN,1,5,10,12,15,NaN,NaN,NaN,NaN,5,10,12,15,8,10,12,8,10,8,NaN
Grassland - Other neutral grassland,NaN,NaN,1,5,10,12,15,NaN,NaN,NaN,NaN,5,10,12,15,8,10,12,8,10,8,NaN
Grassland - Tall herb communities (H6430),NaN,NaN,10,15,20,25,30,NaN,NaN,NaN,NaN,10,20,25,30,10,10,15,5,10,5,NaN
Grassland - Upland acid grassland,NaN,NaN,1,5,10,12,15,NaN,NaN,NaN,NaN,5,10,12,15,8,10,12,8,10,8,NaN
Grassland - Upland calcareous grassland,NaN,NaN,10,12,15,20,25,NaN,NaN,NaN,NaN,10,15,18,20,10,15,18,10,10,10,NaN
Grassland - Upland hay meadows,NaN,NaN,10,12,15,18,20,NaN,NaN,NaN,NaN,10,15,18,20,10,15,18,10,15,10,NaN
Heathland and shrub - Blackthorn scrub,NaN,NaN,1,3,5,7,10,1,5,7,10,1,5,7,10,3,5,3,2,3,2,NaN
Heathland and shrub - Bramble scrub,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Heathland and shrub - Gorse scrub,NaN,NaN,1,3,5,7,10,1,5,7,10,1,5,7,10,3,5,7,2,3,2,NaN
Heathland and shrub - Hawthorn scrub,NaN,NaN,1,3,5,7,10,1,5,7,10,1,5,7,10,3,5,7,2,3,2,NaN
Heathland and shrub - Hazel scrub,NaN,NaN,5,7,10,12,15,5,7,12,15,5,7,12,15,5,8,12,5,7,5,NaN
Heathland and shrub - Willow scrub,NaN,NaN,5,7,10,12,15,5,7,12,15,5,7,12,15,5,8,12,5,7,5,NaN
Heathland and shrub - Lowland heathland,NaN,NaN,10,15,20,25,30+,5,10,15,25,5,10,15,25,5,10,20,5,15,10,NaN
Heathland and shrub - Mixed scrub,NaN,NaN,1,3,5,7,10,1,5,7,10,1,5,7,10,3,5,7,2,3,2,NaN
Heathland and shrub - Mountain heaths and willow scrub,NaN,NaN,15,23,25,30+,30+,20,30+,30+,30+,20,30+,30+,30+,20,30+,30+,20,30+,20,NaN
Heathland and shrub - Rhododendron scrub,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Heathland and shrub - Dunes with sea buckthorn (H2160),NaN,NaN,5,7,10,12,15,5,7,10,12,5,7,10,12,5,7,10,5,7,5,NaN
Heathland and shrub - Other sea buckthorn scrub,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Heathland and shrub - Upland heathland,NaN,NaN,10,15,20,25,30,NaN,NaN,NaN,NaN,10,20,30,30+,10,20,30,10,20,10,NaN
Lakes - Aquifer fed naturally fluctuating water bodies,NaN,NaN,1,10,15,20,30,NaN,NaN,NaN,NaN,5,10,15,30,5,15,25,5,20,5,NaN
Lakes - High alkalinity lakes,NaN,NaN,2,3,5,7,10,NaN,NaN,NaN,NaN,5,10,15,30,5,15,25,10,20,10,NaN
Lakes - Low alkalinity lakes,NaN,NaN,5,10,15,20,30,NaN,NaN,NaN,NaN,5,10,15,20,5,10,15,5,10,5,NaN
Lakes - Marl lakes,NaN,NaN,5,7,10,15,20,NaN,NaN,NaN,NaN,5,10,15,30,5,15,25,10,20,10,NaN
Lakes - Moderate alkalinity lakes,NaN,NaN,5,7,10,15,20,NaN,NaN,NaN,NaN,5,10,15,30,5,15,25,10,20,10,NaN
Lakes - Peat lakes,NaN,NaN,5,10,15,20,30,NaN,NaN,NaN,NaN,5,10,15,30,5,15,25,10,20,10,NaN
Lakes - Ponds (priority habitat),NaN,NaN,2,3,5,7,10,NaN,NaN,NaN,NaN,2,4,6,8,2,4,6,2,4,2,NaN
Lakes - Ponds (non-priority habitat),NaN,NaN,1,2,3,4,5,NaN,NaN,NaN,NaN,2,4,6,8,2,4,6,2,4,2,NaN
Lakes - Reservoirs,NaN,NaN,1,3,5,7,10,NaN,NaN,NaN,NaN,5,10,15,30,5,15,25,10,20,10,NaN
Lakes - Temporary lakes ponds and pools (H3170),NaN,NaN,2,3,5,7,10,NaN,NaN,NaN,NaN,2,4,6,8,2,4,6,2,4,2,NaN
Sparsely vegetated land - Calaminarian grasslands,NaN,NaN,2,3,5,7,10,NaN,NaN,NaN,NaN,1,3,5,8,1,4,7,2,5,3,NaN
Sparsely vegetated land - Coastal sand dunes,NaN,NaN,5,7,10,15,20,NaN,NaN,NaN,NaN,5,8,15,20,5,10,18,7,12,8,NaN
Sparsely vegetated land - Coastal vegetated shingle,NaN,NaN,5,7,10,15,20,NaN,NaN,NaN,NaN,5,8,15,20,5,10,18,7,12,8,NaN
Sparsely vegetated land - Ruderal/Ephemeral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,3,5,1,2,3,1,2,1,NaN
Sparsely vegetated land - Tall forbs,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,3,5,1,2,3,1,2,1,NaN
Sparsely vegetated land - Inland rock outcrop and scree habitats,NaN,NaN,10,15,20,25,30+,NaN,NaN,NaN,NaN,10,20,25,30+,15,25,27,15,20,15,NaN
Sparsely vegetated land - Limestone pavement,NaN,NaN,30+,30+,30+,30+,30+,NaN,NaN,NaN,NaN,5,10,15,20,5,10,15,5,10,5,NaN
Sparsely vegetated land - Maritime cliff and slopes,NaN,NaN,10,15,20,25,30+,NaN,NaN,NaN,NaN,5,8,15,20,5,10,18,7,12,8,NaN
Sparsely vegetated land - Other inland rock and scree,NaN,NaN,3,5,10,15,20,NaN,NaN,NaN,NaN,5,10,15,20,5,10,15,5,10,5,NaN
Urban - Allotments,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,NaN
Lakes - Ornamental lake or pond,NaN,NaN,1,2,3,4,5,NaN,NaN,NaN,NaN,2,4,6,8,2,4,6,2,4,2,NaN
"Urban - Artificial unvegetated, unsealed surface",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Urban - Bioswale,NaN,NaN,1,1,1,2,3,NaN,NaN,NaN,NaN,1,2,2,3,1,2,3,2,2,2,NaN
Urban - Intensive green roof,NaN,NaN,1,2,3,4,5,NaN,NaN,NaN,NaN,1,2,3,5,1,2,3,1,2,1,NaN
Urban - Built linear features,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Urban - Cemeteries and churchyards,NaN,NaN,10,12,15,17,20,NaN,NaN,NaN,NaN,5,10,15,20,10,15,20,10,15,5,NaN
Urban - Developed land; sealed surface,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Urban - Other green roof,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Urban - Facade-bound green wall,NaN,NaN,1,2,3,4,5,NaN,NaN,NaN,NaN,1,2,3,5,1,2,3,1,2,1,NaN
Urban - Ground based green wall,NaN,NaN,1,2,3,4,5,NaN,NaN,NaN,NaN,1,2,3,5,1,2,3,1,2,1,NaN
Urban - Ground level planters,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Urban - Biodiverse green roof,NaN,NaN,1,3,5,8,10,NaN,NaN,NaN,NaN,3,5,8,10,3,8,8,3,5,2,NaN
Urban - Introduced shrub,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Urban - Open mosaic habitats on previously developed land,NaN,NaN,0,2,4,7,10,NaN,NaN,NaN,NaN,2,4,7,10,2,5,8,3,4,3,NaN
Urban - Rain garden,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,NaN
Urban - Actively worked sand pit quarry or open cast mine,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Individual trees - Urban tree,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,16,24,30+,8,16,24,8,16,8,NaN
Urban - Sustainable drainage system,NaN,NaN,1,2,3,4,5,NaN,NaN,NaN,NaN,1,2,3,5,1,2,3,1,2,1,NaN
Urban - Unvegetated garden,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Urban - Vacant or derelict land,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,NaN
Urban - Bare ground,NaN,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,NaN
Urban - Vegetated garden,NaN,NaN,1,2,3,4,5,NaN,NaN,NaN,NaN,1,2,3,5,1,2,3,1,2,1,NaN
Wetland - Blanket bog,NaN,NaN,15,25,30,30+,30+,NaN,NaN,NaN,NaN,10,20,30+,30+,10,30+,30+,30,30+,30,NaN
Wetland - Depressions on peat substrates (H7150),NaN,NaN,15,25,30,30+,30+,NaN,NaN,NaN,NaN,10,20,25,30,10,20,25,10,20,10,NaN
Wetland - Fens (upland and lowland),NaN,NaN,10,12,15,25,30,NaN,NaN,NaN,NaN,10,12,15,18,10,12,15,10,12,10,NaN
Wetland - Lowland raised bog,NaN,NaN,15,20,30,30+,30+,NaN,NaN,NaN,NaN,10,20,25,30,10,20,20,10,15,10,NaN
Wetland - Oceanic valley mire[1] (D2.1),NaN,NaN,15,20,30,30+,30+,NaN,NaN,NaN,NaN,10,20,25,30,10,20,20,10,15,10,NaN
Wetland - Purple moor grass and rush pastures,NaN,NaN,10,12,15,17,20,NaN,NaN,NaN,NaN,10,10,15,20,10,15,20,10,15,10,NaN
Wetland - Reedbeds,NaN,NaN,5,7,10,12,15,NaN,NaN,NaN,NaN,5,7,10,12,5,7,10,5,7,5,NaN
Wetland - Transition mires and quaking bogs (H7140),NaN,NaN,15,25,30,30+,30+,NaN,NaN,NaN,NaN,10,20,25,30,10,20,20,10,15,10,NaN
Woodland and forest - Felled,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Woodland and forest - Lowland beech and yew woodland,NaN,NaN,10,25,30+,30+,30+,NaN,NaN,NaN,NaN,25,30+,30+,30+,30+,30+,30+,30+,30+,30+,NaN
Woodland and forest - Lowland mixed deciduous woodland,NaN,NaN,10,25,30+,30+,30+,NaN,NaN,NaN,NaN,10,20,25,30+,10,20,25,10,20,10,NaN
Woodland and forest - Native pine woodlands,NaN,NaN,25,30,30+,30+,30+,NaN,NaN,NaN,NaN,10,15,20,30+,15,20,25,10,15,10,NaN
Woodland and forest - Other coniferous woodland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,25,30+,30+,20,30+,30+,30+,30+,30+,NaN
Woodland and forest - Other Scot's pine woodland,NaN,NaN,20,25,30+,30+,30+,NaN,NaN,NaN,NaN,10,15,20,30+,15,20,25,10,15,10,NaN
Woodland and forest - Other woodland; broadleaved,NaN,NaN,5,10,15,20,25,NaN,NaN,NaN,NaN,5,10,15,20,5,10,15,5,10,5,NaN
Woodland and forest - Other woodland; mixed,NaN,NaN,5,10,15,20,25,NaN,NaN,NaN,NaN,5,10,15,20,5,10,15,5,10,5,NaN
Woodland and forest - Upland birchwoods,NaN,NaN,10,20,25,30,30+,NaN,NaN,NaN,NaN,10,15,20,30+,15,20,25,10,15,10,NaN
Woodland and forest - Upland mixed ashwoods,NaN,NaN,10,25,30+,30+,30+,NaN,NaN,NaN,NaN,10,15,20,30+,15,20,25,10,15,10,NaN
Woodland and forest - Upland oakwood,NaN,NaN,10,25,30+,30+,30+,NaN,NaN,NaN,NaN,25,30+,30+,30+,30+,30+,30+,30+,30+,30+,NaN
Woodland and forest - Wet woodland,NaN,NaN,10,20,25,30,30+,NaN,NaN,NaN,NaN,5,10,25,30+,5,20,30+,15,30+,30,NaN
Woodland and forest - Wood-pasture and parkland,NaN,NaN,10,25,30+,30+,30+,NaN,NaN,NaN,NaN,25,30+,30+,30+,30+,30+,30+,30+,30+,30+,NaN
Coastal lagoons - Coastal lagoons,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4,8,12,3,7,11,4,8,4,NaN
Rocky shore - High energy littoral rock,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,4,6,10,2,4,8,2,6,4,NaN
"Rocky shore - High energy littoral rock - on peat, clay or chalk",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,4,6,10,2,4,8,2,6,4,NaN
Rocky shore - Moderate energy littoral rock,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,4,6,11,2,4,9,2,7,5,NaN
"Rocky shore - Moderate energy littoral rock - on peat, clay or chalk",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,4,6,11,2,4,9,2,7,5,NaN
Rocky shore - Low energy littoral rock,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,4,6,12,2,4,10,2,8,6,NaN
"Rocky shore - Low energy littoral rock - on peat, clay or chalk",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,4,6,12,2,4,10,2,8,6,NaN
Rocky shore - Features of littoral rock,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,4,6,11,2,4,9,2,7,5,NaN
"Rocky shore - Features of littoral rock - on peat, clay or chalk",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,4,6,11,2,4,9,2,7,5,NaN
Intertidal sediment - Littoral coarse sediment,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,3,4,1,2,3,1,2,1,NaN
Intertidal sediment - Littoral mud,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,4,6,8,2,4,6,2,4,2,NaN
Intertidal sediment - Littoral mixed sediments,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,3,4,1,2,3,1,2,1,NaN
Coastal saltmarsh - Saltmarshes and saline reedbeds,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,6,10,20,4,8,18,4,14,10,NaN
Coastal saltmarsh - Artificial saltmarshes and saline reedbeds,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,6,10,20,4,8,18,4,14,10,NaN
Intertidal sediment - Littoral seagrass,NaN,NaN,2,5,10,15,20,NaN,NaN,NaN,NaN,3,13,23,30+,10,20,30,10,20,10,NaN
"Intertidal sediment - Littoral seagrass on peat, clay or chalk",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,13,23,30+,10,20,30,10,20,10,NaN
Intertidal sediment - Littoral biogenic reefs - Mussels,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,4,7,10,2,3,8,3,6,3,NaN
Intertidal sediment - Littoral biogenic reefs - Sabellaria,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,4,7,10,2,3,8,3,6,3,NaN
Intertidal sediment - Features of littoral sediment,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,3,5,1,2,4,1,3,2,NaN
Intertidal sediment - Artificial littoral coarse sediment,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,3,4,1,2,3,1,2,1,NaN
Intertidal sediment - Artificial littoral mud,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,4,6,8,2,4,6,2,4,2,NaN
Intertidal sediment - Artificial littoral sand,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,3,4,6,1,2,4,1,3,2,NaN
Intertidal sediment - Artificial littoral muddy sand,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,4,6,8,2,4,6,2,4,2,NaN
Intertidal sediment - Artificial littoral mixed sediments,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,3,4,1,2,3,1,2,1,NaN
Intertidal sediment - Artificial littoral seagrass,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,13,23,30+,10,20,30,10,20,10,NaN
Intertidal sediment - Artificial littoral biogenic reefs,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,4,7,10,2,3,8,3,6,3,NaN
Intertidal sediment - Littoral sand,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,3,4,6,1,2,4,1,3,2,NaN
Intertidal sediment - Littoral muddy sand,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,4,6,8,2,4,6,2,4,2,NaN
Intertidal hard structures - Artificial hard structures,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,4,6,12,2,4,10,2,8,6,NaN
Intertidal hard structures - Artificial features of hard structures,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,4,6,11,2,4,9,2,7,5,NaN
Intertidal hard structures - Artificial hard structures with integrated greening of grey infrastructure (IGGI),NaN,NaN,1,2,4,8,13,NaN,NaN,NaN,NaN,2,4,6,11,2,4,9,2,7,5,NaN
Watercourse footprint - Watercourse footprint,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Individual trees - Rural tree,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,16,24,30+,8,16,24,8,16,8,NaN